"Gear","Species","Lenght","Sex","Mat","Total weight","Number"
"D","PECTJAC",85,NA,NA,1.6,NA
NA,NA,85,NA,NA,NA,NA
NA,NA,85,NA,NA,NA,NA
NA,NA,90,NA,NA,NA,NA
NA,NA,75,NA,NA,NA,NA
NA,NA,85,NA,NA,NA,NA
NA,NA,80,NA,NA,NA,NA
NA,NA,63,NA,NA,NA,NA
NA,NA,59,NA,NA,NA,NA
NA,NA,87,NA,NA,NA,NA
NA,NA,73,NA,NA,NA,NA
NA,NA,62,NA,NA,NA,NA
NA,NA,74,NA,NA,NA,NA
NA,NA,65,NA,NA,NA,NA
NA,NA,60,NA,NA,NA,NA
NA,NA,60,NA,NA,NA,NA
NA,NA,74,NA,NA,NA,NA
NA,NA,75,NA,NA,NA,NA
NA,NA,67,NA,NA,NA,NA
"A","PECTJAC",83,NA,NA,1.5,NA
NA,NA,90,NA,NA,NA,NA
NA,NA,65,NA,NA,NA,NA
NA,NA,74,NA,NA,NA,NA
NA,NA,65,NA,NA,NA,NA
NA,NA,66,NA,NA,NA,NA
NA,NA,88,NA,NA,NA,NA
NA,NA,55,NA,NA,NA,NA
NA,NA,70,NA,NA,NA,NA
NA,NA,50,NA,NA,NA,NA
NA,NA,66,NA,NA,NA,NA
NA,NA,80,NA,NA,NA,NA
NA,NA,75,NA,NA,NA,NA
NA,NA,67,NA,NA,NA,NA
NA,NA,67,NA,NA,NA,NA
NA,NA,64,NA,NA,NA,NA
NA,NA,75,NA,NA,NA,NA
NA,NA,60,NA,NA,NA,NA
NA,NA,63,NA,NA,NA,NA
NA,NA,67,NA,NA,NA,NA
NA,NA,80,NA,NA,NA,NA
NA,NA,60,NA,NA,NA,NA
NA,NA,69,NA,NA,NA,NA
NA,NA,66,NA,NA,NA,NA
NA,NA,68,NA,NA,NA,NA
NA,NA,65,NA,NA,NA,NA
NA,NA,66,NA,NA,NA,NA
NA,NA,65,NA,NA,NA,NA
